time,AUV5_GJQ_Error,AUV6_GJQ_Error,AUV7_GJQ_Error,AUV8_GJQ_Error,AUV9_GJQ_Error
144.6,0.005092875,0.00652214,0.005268368,0.006232014,0.005509951
144.7,0.004964977,0.006711515,0.005128884,0.006265039,0.005340231
144.8,0.004859209,0.006966348,0.005000968,0.006281483,0.005158432
144.9,0.004799871,0.007160114,0.004932929,0.006393882,0.005068356
145,0.00480547,0.007182283,0.004966994,0.006694845,0.005167423
145.1,0.00483851,0.007273329,0.005017984,0.006969263,0.005259867
145.2,0.004893271,0.007427344,0.005080408,0.007216644,0.005341284
145.3,0.004966421,0.007638845,0.005151328,0.007437923,0.005409756
145.4,0.00505703,0.00790316,0.005230266,0.008960876,0.007202301
145.5,0.005166441,0.008515464,0.005769953,0.009111908,0.00688299
145.6,0.005298029,0.008576714,0.005421647,0.008692485,0.006543746
145.7,0.00500216,0.00892813,0.005136624,0.008378442,0.006316833
145.8,0.004742244,0.008520235,0.00491085,0.008152126,0.00618586
145.9,0.004495233,0.008152588,0.00469101,0.007906369,0.006046654
146,0.004258021,0.007827973,0.004472883,0.007636295,0.005894755
146.1,0.004029763,0.007550592,0.004254287,0.00733779,0.005727325
146.2,0.003812606,0.00732612,0.004035646,0.007007495,0.005543312
146.3,0.003612569,0.007161585,0.003820743,0.006642834,0.005343702
146.4,0.003440496,0.007065026,0.003617703,0.006242087,0.005131914
146.5,0.003362323,0.006745015,0.003568178,0.006065614,0.00513816
146.6,0.003342604,0.006399599,0.003583518,0.005944901,0.005204613
146.7,0.003358291,0.006114846,0.003618685,0.005802683,0.005262606
146.8,0.003403069,0.005896215,0.003667697,0.005633788,0.005308665
146.9,0.003473704,0.00575001,0.003728035,0.00543436,0.00534171
147,0.003570117,0.005682774,0.003800522,0.005201864,0.005362937
147.1,0.0036951,0.005700454,0.003889041,0.004935203,0.005375775
147.2,0.003857201,0.005780184,0.004008876,0.004660765,0.00540205
147.3,0.004105676,0.005517213,0.004284882,0.004766459,0.005675625
147.4,0.004372187,0.005337773,0.004564658,0.004851442,0.006723497
147.5,0.004647388,0.005244933,0.004841549,0.00491085,0.006565205
147.6,0.004926482,0.005240193,0.006175817,0.004942252,0.006392898
147.7,0.005841608,0.005323102,0.005994059,0.00494538,0.006204779
147.8,0.005672592,0.005491329,0.005815689,0.004922053,0.006000811
147.9,0.005520407,0.005741146,0.005644826,0.00487627,0.005783017
148,0.005406617,0.005918153,0.005524342,0.004953229,0.005643869
148.1,0.005348621,0.005888436,0.005493354,0.005271693,0.00567327
